Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Congo, Dem. Rep.",ZAR,186.5,161,133.5,128.9,124.5,120.1,116.1,112.2,108.5,104.8,101.7,98.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Congo, Rep.",COG,93.6,121.6,87.4,79.9,72.6,66.1,60.6,56.1,52.6,49.6,47.1,45
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Costa Rica,CRI,16.9,13,10.3,10.3,10.3,10.2,10.2,10.1,10.1,10,9.9,9.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cote d'Ivoire,CIV,152.6,145.6,125.1,121.1,116.5,112.7,109.1,105.9,102.5,99,95.5,92.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Croatia,HRV,12.9,8.3,6.5,6.2,5.9,5.6,5.4,5.1,4.9,4.7,4.5,4.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cuba,CUB,13.3,8.4,6.6,6.4,6.3,6.2,6.1,6,5.8,5.7,5.6,5.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cyprus,CYP,11.1,6.6,4.6,4.3,4.1,3.8,3.6,3.4,3.2,3,2.9,2.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Czech Republic,CZE,14.6,6.6,5,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.5,3.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Denmark,DNK,8.9,5.6,4.7,4.5,4.3,4.2,4,3.9,3.8,3.7,3.6,3.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Djibouti,DJI,119.4,100.8,86,83.5,81,78.5,76.1,73.9,71.7,69.5,67.4,65.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Dominica,DMA,17.1,15.3,16,16.5,17.1,17.9,18.8,19.6,20.4,21,21.2,21.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Dominican Republic,DOM,60.2,41.3,36.1,35.5,34.9,34.3,33.8,33.3,32.7,32.2,31.5,30.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ecuador,ECU,56.9,34.4,28.3,27.5,26.8,26,25.2,24.5,23.7,23,22.3,21.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Egypt, Arab Rep.",EGY,85.9,46.5,34.1,32.7,31.4,30.2,29,27.9,26.8,25.8,24.8,24
